type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
white,7.4,0.25,0.36,2.05,0.05,31,100,992,3.19,0.44,10.8,6
white,6.2,0.12,0.34,,45,43,117,0.9939,3.42,0.51,9,6
white,5.8,0.27,0.2,14.95,44,22,179,0.9962,3.37,0.37,10.2,5
white,7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,5
white,6.5,0.39,0.23,5.4,51,25,149,0.9934,3.24,0.35,10,5
white,7,0.33,0.32,1.2,53,38,138,0.9906,3.13,0.28,11.2,6
white,7.3,0.24,0.39,17.95,57,45,149,0.9999,3.21,0.36,8.6,5
white,7.3,0.24,0.39,17.95,57,45,149,0.9999,3.21,0.36,8.6,5
white,6.7,0.23,0.39,2.5,172,63,158,0.9937,3.11,0.36,9.4,6
white,6.7,0.24,0.39,2.9,173,63,157,0.9937,3.1,0.34,9.4,6
white,7,0.31,0.26,7.4,69,28,160,0.9954,3.13,0.46,9.8,6
white,6.6,0.24,0.27,1.4,57,33,152,0.9934,3.22,0.56,9.5,6
white,6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,6
white,7.4,0.18,0.31,1.4,58,38,167,0.9931,3.16,0.53,10,7
white,6.2,0.45,0.26,4.4,63,63,206,994,3.27,0.52,9.8,4
white,6.2,0.46,0.25,4.4,66,62,207,0.9939,3.25,0.52,9.8,5
white,7,0.31,0.26,7.4,69,28,160,0.9954,3.13,0.46,9.8,6
white,6.9,0.19,0.35,5,67,32,150,995,3.36,0.48,9.8,5
white,7.2,0.19,0.31,1.6,62,31,173,0.9917,3.35,0.44,11.7,6
white,6.6,0.25,0.29,1.1,68,39,124,0.9914,3.34,0.58,11,7
white,6.2,0.16,0.33,1.1,57,21,82,991,3.32,0.46,10.9,7
white,6.4,0.18,0.35,1,45,39,108,0.9911,3.31,0.35,10.9,6
white,6.8,0.2,0.59,0.9,147,38,132,993,,0.38,9.1,6
white,6.9,0.25,0.35,1.3,39,29,191,0.9908,3.13,0.52,11,6
white,7.2,0.21,0.34,11.9,43,37,213,0.9962,3.09,0.5,9.6,6
white,6,0.19,0.26,12.4,48,50,147,0.9972,3.3,0.36,8.9,6
white,6.6,0.38,0.15,4.6,44,25,78,0.9931,3.11,0.38,10.2,6
white,7.4,0.2,0.36,1.2,38,44,111,0.9926,3.36,0.34,9.9,6
white,6.8,0.22,0.24,4.9,92,30,123,0.9951,3.03,0.46,8.6,6
white,6,0.19,0.26,12.4,48,50,147,0.9972,3.3,0.36,8.9,6
white,7,0.47,0.07,1.1,35,17,151,991,3.02,0.34,10.5,5
white,6.6,0.38,0.15,4.6,44,25,78,0.9931,3.11,0.38,10.2,6
white,7.2,0.24,0.27,1.4,38,31,122,0.9927,3.15,0.46,10.3,6
white,6.2,0.35,0.03,1.2,64,29,120,0.9934,3.22,0.54,9.1,5
white,6.4,0.26,0.24,6.4,0.04,27,124,0.9903,3.22,0.49,12.6,7
white,6.7,0.25,0.13,1.2,41,81,174,992,3.14,0.42,9.8,5
white,6.7,0.23,0.31,2.1,46,30,96,0.9926,3.33,0.64,10.7,8
white,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5
white,6.2,0.27,0.43,7.8,56,48,244,0.9956,3.1,0.51,9,6
white,6.8,0.3,0.23,4.6,61,50.5,238.5,0.9958,3.32,0.6,9.5,5
white,6,0.27,0.28,4.8,63,31,201,0.9964,3.69,0.71,10,5
white,8.6,0.23,0.46,1,54,9,72,0.9941,2.95,0.49,9.1,6
white,6.7,0.23,0.31,2.1,46,30,96,0.9926,3.33,0.64,10.7,8
white,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5
white,7.1,0.18,0.36,1.4,43,31,87,0.9898,3.26,0.37,12.7,7
white,7,0.32,0.34,1.3,42,20,69,0.9912,3.31,0.65,12,7
white,7.4,0.18,0.3,8.8,64,26,103,0.9961,2.94,0.56,9.3,5
white,6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,5
white,6.8,0.22,0.31,1.4,53,34,114,0.9929,3.39,0.77,10.6,6
white,7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,6
white,7.1,0.34,0.2,6.1,63,47,164,0.9946,3.17,0.42,10,5
white,7.3,0.22,0.3,8.2,47,42,207,0.9966,3.33,0.46,9.5,6
white,7.1,0.43,0.61,11.8,45,54,155,0.9974,3.11,0.45,8.7,5
white,7.1,0.44,0.62,11.8,44,52,152,0.9975,3.12,0.46,8.7,6
white,7.2,,0.63,11,44,55,156,0.9974,3.09,0.44,8.7,6
white,6.8,0.25,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,6
white,7.1,0.43,0.61,11.8,45,54,155,0.9974,3.11,0.45,8.7,5
white,7.1,0.44,0.62,11.8,44,52,152,0.9975,3.12,0.46,8.7,6
white,7.2,0.39,0.63,11,44,55,156,0.9974,3.09,0.44,8.7,6
white,6.1,0.27,0.43,7.5,49,65,243,0.9957,3.12,0.47,9,5
white,6.9,0.24,0.33,1.7,35,47,136,0.99,3.26,0.4,12.6,7
white,6.9,0.21,0.33,1.8,34,48,136,0.9899,3.25,0.41,12.6,7
white,7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,7
white,7.1,0.26,0.29,12.4,44,62,240,0.9969,3.04,0.42,9.2,6
white,6,0.34,0.66,15.9,46,26,164,0.9979,3.14,0.5,8.8,6
white,8.6,265,0.36,1.2,34,15,80,0.9913,2.95,0.36,11.4,7
white,9.8,0.36,0.46,10.5,,4,83,0.9956,2.89,0.3,10.1,4
white,6,0.34,0.66,15.9,46,26,164,0.9979,3.14,0.5,8.8,6
white,7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5
white,7.1,0.12,0.32,9.6,54,64,162,0.9962,3.4,0.41,9.4,5
white,6,0.21,0.24,12.1,0.05,55,164,997,3.34,0.39,9.4,5
white,7.5,305,0.4,18.9,59,44,170,1,2.99,0.46,9,5
white,7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5
white,7.3,0.13,0.32,14.4,51,34,109,0.9974,3.2,0.35,9.2,6
white,7.1,0.12,0.32,9.6,54,64,162,0.9962,3.4,0.41,9.4,5
white,7.1,0.23,0.35,16.5,0.04,60,171,999,3.16,0.59,9.1,6
white,7.1,0.23,0.35,16.5,0.04,60,171,999,3.16,0.59,9.1,6
white,6.9,0.33,0.28,1.3,51,37,187,0.9927,3.27,0.6,10.3,5
white,6.5,0.17,0.54,8.5,82,64,163,0.9959,2.89,0.39,8.8,6
white,7.2,0.27,0.46,18.75,52,45,255,1,3.04,0.52,8.9,5
white,7.2,0.31,0.5,13.3,56,68,195,0.9982,3.01,0.47,9.2,5
white,6.7,0.41,0.34,9.2,49,29,150,0.9968,3.22,0.51,9.1,5
white,6.7,0.41,0.34,9.2,49,29,150,0.9968,3.22,0.51,9.1,5
white,5.5,485,0,1.5,65,8,103,994,3.63,0.4,9.7,4
white,6,0.31,0.24,3.3,41,25,143,0.9914,3.31,0.44,11.3,6
white,7,0.14,0.4,1.7,35,16,85,0.9911,3.19,0.42,11.8,6
white,7.2,0.31,0.5,13.3,56,68,195,0.9982,3.01,0.47,9.2,5
white,7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,5
white,5.9,0.36,0.04,5.7,46,21,87,0.9934,3.22,0.51,10.2,5
white,7.8,0.24,0.32,12.2,54,42,138,0.9984,3.01,0.54,8.8,5
white,7.4,0.16,0.31,6.85,59,31,131,0.9952,3.29,0.34,9.7,5
white,6.9,0.19,0.28,5,58,14,146,0.9952,3.29,0.36,9.1,6
white,6.4,0.13,0.47,1.6,92,40,158,0.9928,3.21,0.36,9.8,6
white,6.7,0.19,0.36,1.1,26,63,143,0.9912,3.27,0.48,11,6
white,7.4,0.39,0.23,7,33,29,126,994,3.14,0.42,10.5,5
white,6.5,0.24,0.32,7.6,38,48,203,0.9958,3.45,0.54,9.7,7
white,6.1,0.3,0.56,2.8,44,47,179,0.9924,3.3,0.57,10.9,7
white,6.1,0.3,0.56,2.7,46,46,184,0.9924,3.31,0.57,10.9,6
white,5.7,0.26,0.25,10.4,0.02,7,57,994,3.39,0.37,10.6,5
white,6.5,0.24,0.32,7.6,38,48,203,0.9958,3.45,0.54,9.7,7
white,6.5,425,0.4,13.1,38,59,241,0.9979,3.23,0.57,9,5
white,6.6,0.24,0.27,15.8,35,46,188,0.9982,3.24,0.51,9.2,5
white,6.8,0.27,0.22,8.1,34,55,203,0.9961,3.19,0.52,8.9,5
white,6.7,0.27,0.31,15.7,36,44,179,0.9979,3.26,0.56,9.6,5
white,8.2,0.23,0.4,1.2,27,36,121,992,3.12,0.38,10.7,6
white,7.1,0.37,0.67,10.5,45,49,155,0.9975,3.16,0.44,8.7,5
white,6.8,0.19,0.36,1.9,35,30,96,0.9917,3.15,0.54,10.8,7
white,8.1,0.28,0.39,1.9,29,18,79,0.9923,,0.52,11.8,6
white,6.3,0.31,0.34,2.2,45,20,77,0.9927,3.3,0.43,10.2,5
white,7.1,0.37,0.67,10.5,45,49,155,0.9975,3.16,0.44,8.7,5
white,7.9,0.21,0.4,1.2,39,38,107,992,3.21,0.54,10.8,6
white,8.5,0.21,0.41,4.3,36,24,99,0.9947,3.18,0.53,9.7,6
white,8.1,0.2,0.4,2,37,19,87,0.9921,3.12,0.54,11.2,6
white,6.3,255,0.37,1.1,0.04,37,114,0.9905,3,0.39,10.9,6
white,5.6,0.16,0.27,1.4,44,53,168,0.9918,3.28,0.37,10.1,6
white,6.4,595,0.14,5.2,58,15,97,0.9951,3.38,0.36,9,4
white,6.3,0.34,0.33,4.6,34,19,80,0.9917,3.38,0.58,12,7
white,6.9,0.25,0.3,4.1,54,23,116,994,2.99,0.38,9.4,6
white,7.9,0.22,0.38,8,43,46,152,0.9934,3.12,0.32,11.5,7
white,7.6,0.18,0.46,10.2,55,58,135,0.9968,3.14,0.43,9.9,6
white,6.9,0.25,0.3,4.1,54,23,116,994,2.99,0.38,9.4,6
white,7.2,0.18,0.41,1.2,48,41,97,0.9919,3.14,0.45,10.4,5
white,8.2,0.23,0.4,7.5,49,12,76,0.9966,3.06,0.84,9.7,6
white,7.4,0.24,0.42,14,66,48,198,0.9979,2.89,0.42,8.9,6
white,7.4,0.24,0.42,14,66,48,198,0.9979,2.89,0.42,8.9,6
white,6.1,0.32,0.24,1.5,36,38,124,0.9898,3.29,0.42,12.4,7
white,5.2,0.44,0.04,1.4,36,43,119,0.9894,3.36,0.33,12.1,8
white,5.2,0.44,0.04,1.4,36,43,119,0.9894,3.36,0.33,12.1,8
white,6.1,0.32,0.24,1.5,36,38,124,0.9898,3.29,0.42,12.4,7
white,6.4,0.22,0.56,14.5,55,27,159,998,2.98,0.4,9.1,5
white,6.3,0.36,0.3,4.8,49,14,85,0.9932,3.28,0.39,10.6,5
white,7.4,0.24,0.42,14,66,48,198,0.9979,2.89,0.42,8.9,6
white,6.7,0.24,0.35,13.1,0.05,64,205,997,3.15,0.5,9.5,5
white,7,0.23,0.36,13,51,72,177,0.9972,3.16,0.49,9.8,5
white,8.4,0.27,0.46,8.7,48,39,197,0.9974,3.14,0.59,9.6,6
white,6.7,0.46,0.18,2.4,34,25,98,0.9896,3.08,0.44,12.6,7
white,7.5,0.29,0.31,8.95,55,20,151,0.9968,3.08,0.54,9.3,5
white,9.8,0.42,0.48,9.85,34,5,110,0.9958,2.87,0.29,10,5
white,7.1,0.3,0.46,1.5,66,29,133,0.9906,3.12,0.54,12.7,6
white,7.9,0.19,0.45,1.5,45,17,96,0.9917,3.13,0.39,11,6
white,7.6,0.48,0.37,0.8,37,4,100,0.9902,3.03,0.39,11.4,4
white,6.3,0.22,0.43,4.55,38,31,130,0.9918,3.35,0.33,11.5,7
white,,0.27,0.31,17.7,51,33,173,999,3.09,0.64,10.2,5
white,6.9,0.23,0.4,7.5,0.04,50,151,0.9927,3.11,0.27,11.4,6
white,7.2,0.32,0.47,5.1,44,19,65,991,3.03,0.41,12.6,4
white,5.9,0.23,0.3,12.9,54,57,170,0.9972,3.28,0.39,9.4,5
white,6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7,4
white,6.4,0.25,0.32,5.5,49,41,176,995,3.19,0.68,9.2,6
white,6.4,0.33,0.31,5.5,48,42,173,0.9951,3.19,0.66,9.3,6
white,7.1,0.34,0.15,1.2,53,61,183,0.9936,3.09,0.43,9.2,5
white,6.8,0.28,0.4,22,48,48,167,1001,2.93,0.5,8.7,5
white,6.9,0.27,0.4,14,0.05,64,227,0.9979,3.18,0.58,9.6,6
white,6.8,0.26,0.56,11.9,43,64,226,997,3.02,0.63,9.3,5
white,6.8,0.29,0.56,11.9,43,66,230,0.9972,3.02,0.63,9.3,5
white,6.7,0.24,0.41,9.4,0.04,49,166,0.9954,3.12,0.61,9.9,6
white,5.9,0.3,0.23,4.2,38,42,119,0.9924,3.15,0.5,11,5
white,6.8,0.53,0.35,3.8,34,26,109,0.9906,3.26,0.57,12.7,8
white,6.5,0.28,0.28,8.5,47,54,210,0.9962,3.09,0.54,8.9,4
white,6.6,0.28,0.28,8.5,52,55,211,0.9962,3.09,0.55,8.9,6
white,6.8,0.28,0.4,22,48,48,167,1001,2.93,0.5,8.7,5
white,6.8,0.28,0.36,8,45,28,123,0.9928,3.02,0.37,11.4,6
white,6.6,0.15,0.34,5.1,55,34,125,0.9942,3.36,0.42,9.6,5
white,6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,5
white,6.4,0.3,0.45,3.5,197,76,180,0.9942,3.02,0.39,9.1,6
white,6.4,0.29,0.44,3.6,197,75,183,0.9942,3.01,0.38,9.1,5
white,6.8,0.26,0.24,7.8,52,54,214,0.9961,3.13,0.47,8.9,5
white,7.1,0.32,0.24,13.1,0.05,52,204,998,3.1,0.49,8.8,5
white,6.8,0.26,0.24,7.8,52,54,214,0.9961,3.13,0.47,8.9,5
white,6.8,0.27,0.26,16.1,49,55,196,0.9984,3.15,0.5,9.3,5
white,7.1,0.32,0.24,13.1,0.05,52,204,998,3.1,0.49,8.8,5
white,6.9,0.54,0.32,13.2,0.05,53,236,0.9973,3.2,0.5,9.6,5
white,6.8,0.26,0.34,13.9,34,39,134,0.9949,3.33,0.53,12,6
white,5.8,0.28,0.35,2.3,53,36,114,0.9924,3.28,0.5,10.2,4
white,6.4,0.21,0.5,11.6,42,45,153,0.9972,3.15,0.43,8.8,5
white,7,0.16,0.32,8.3,45,38,126,0.9958,3.21,0.34,9.2,5
white,10.2,0.44,0.88,6.2,49,20,124,0.9968,2.99,0.51,9.9,4
white,6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,5
white,6.1,0.4,0.31,0.9,48,23,170,993,3.22,0.77,9.5,6
white,5.6,245,0.25,9.7,32,12,68,994,3.31,0.34,10.5,5
white,6.8,0.18,0.38,1.4,38,35,111,0.9918,3.32,0.59,11.2,7
white,7,0.16,0.32,8.3,45,38,126,0.9958,3.21,0.34,9.2,5
white,6.7,0.13,0.29,5.3,51,31,122,0.9944,3.44,0.37,9.7,6
white,6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7
white,5.8,0.26,0.24,9.2,44,55,152,0.9961,3.31,0.38,9.4,5
white,7.5,0.27,0.36,7,36,45,164,0.9939,3.03,0.33,11,5
white,5.8,0.26,0.24,9.2,44,55,152,0.9961,3.31,0.38,9.4,5
white,5.7,0.28,0.24,17.5,44,60,167,0.9989,3.31,0.44,9.4,5
white,7.5,0.23,0.36,7,36,43,161,0.9938,3.04,0.32,11,5
white,7.5,0.27,0.36,7,36,45,164,0.9939,3.03,0.33,11,5
white,7.2,685,0.21,9.5,0.07,33,172,0.9971,3,0.55,9.1,6
white,6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7
white,6.5,0.19,0.3,0.8,43,33,144,0.9936,3.42,0.39,9.1,6
white,6.3,495,0.22,1.8,46,31,140,0.9929,3.39,,10.4,6
white,7.1,0.24,0.41,17.8,46,39,145,0.9998,3.32,0.39,8.7,5
white,6.4,0.17,0.32,2.4,48,41,200,0.9938,3.5,0.5,9.7,6
white,7.1,0.25,0.32,10.3,41,66,272,0.9969,3.17,0.52,9.1,6
white,6.4,0.17,0.32,2.4,48,41,200,0.9938,3.5,0.5,9.7,6
white,7.1,0.24,0.41,17.8,46,39,145,0.9998,3.32,0.39,8.7,5
white,6.8,0.64,0.08,9.7,62,26,142,0.9972,3.37,0.46,8.9,4
white,8.3,0.28,0.4,7.8,41,38,194,0.9976,3.34,0.51,9.6,6
white,8.2,0.27,0.39,7.8,39,49,208,0.9976,3.31,0.51,9.5,6
white,7.2,0.23,0.38,14.3,58,55,194,0.9979,3.09,0.44,9,6
white,7.2,0.23,0.38,14.3,58,55,194,0.9979,3.09,0.44,9,6
white,7.2,0.23,0.38,14.3,58,55,194,0.9979,3.09,0.44,9,6
white,7.2,0.23,0.38,14.3,58,55,194,0.9979,3.09,0.44,9,6
white,6.8,0.52,0.32,13.2,44,54,221,0.9972,3.27,0.5,9.6,6
white,7,0.26,0.59,1.4,37,40,120,0.9918,3.34,0.41,11.1,7
white,6.2,0.25,0.21,15.55,39,28,159,0.9982,3.48,0.64,9.6,6
white,7.3,0.32,0.23,13.7,0.05,49,197,0.9985,3.2,0.46,8.7,5
white,7.7,0.31,0.26,7.8,31,23,90,0.9944,3.13,0.5,10.4,5
white,7.1,0.21,0.37,2.4,26,23,100,0.9903,3.15,0.38,11.4,7
white,6.8,0.24,0.34,2.7,47,64.5,218.5,0.9934,3.3,0.58,9.7,6
white,6.9,0.4,0.56,11.2,43,40,142,0.9975,3.14,0.46,8.7,5
white,6.1,0.18,0.36,2,38,20,249.5,0.9923,3.37,0.79,11.3,6
white,6.8,0.21,0.27,2.1,0.03,26,139,0.99,3.16,0.61,12.6,7
white,5.8,0.2,0.27,1.4,31,12,77,0.9905,3.25,0.36,10.9,7
white,5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,7
white,,0.41,0.14,10.4,37,18,119,996,3.38,0.45,10,5
white,5.9,0.21,0.28,4.6,53,40,199,0.9964,3.72,0.7,10,4
white,8.5,0.26,0.21,16.2,74,41,197,998,3.02,0.5,9.8,3
white,6.9,0.4,0.56,11.2,43,40,142,0.9975,3.14,0.46,8.7,5
white,5.8,0.24,0.44,3.5,29,5,109,0.9913,3.53,0.43,11.7,3
white,5.8,0.24,0.39,1.5,54,37,158,0.9932,3.21,0.52,9.3,6
white,6.7,0.26,0.39,1.1,0.04,45,147,0.9935,3.32,0.58,9.6,8
white,6.3,0.35,0.3,5.7,35,8,97,0.9927,3.27,0.41,11,7
white,6.3,0.35,0.3,5.7,35,8,97,0.9927,3.27,0.41,11,7
white,6.4,0.23,0.39,1.8,32,23,118,0.9912,3.32,0.5,11.8,6
white,5.8,0.36,0.38,0.9,37,3,75,0.9904,3.28,0.34,11.4,4
white,6.9,115,0.35,5.4,48,36,108,0.9939,3.32,0.42,10.2,6
white,6.9,0.29,0.4,19.45,43,36,156,0.9996,2.93,0.47,8.9,5
white,6.9,0.28,0.4,8.2,36,15,95,0.9944,3.17,0.33,10.2,5
white,7.2,0.29,0.4,13.6,45,66,231,0.9977,3.08,0.59,9.6,6
white,6.2,0.24,0.35,1.2,38,22,167,0.9912,3.1,0.48,10.6,6
white,6.9,0.29,0.4,19.45,43,36,156,0.9996,2.93,0.47,8.9,5
white,6.9,0.32,0.26,8.3,53,32,180,0.9965,3.25,0.51,9.2,6
white,,0.58,0.07,6.9,43,34,149,0.9944,3.34,0.57,9.7,5
white,5.3,585,,7.1,44,34,145,0.9945,3.34,0.57,9.7,6
white,5.4,0.59,0.07,7,45,36,147,0.9944,3.34,0.57,9.7,6
white,6.9,0.32,0.26,8.3,53,32,180,0.9965,3.25,0.51,9.2,6
white,5.2,0.6,0.07,7,44,33,147,0.9944,3.33,0.58,9.7,5
white,5.8,0.25,0.26,13.1,51,44,148,0.9972,3.29,0.38,9.3,5
white,6.6,0.58,0.3,5.1,57,30,123,0.9949,3.24,0.38,9,5
white,7,0.29,0.54,10.7,46,59,234,0.9966,3.05,0.61,9.5,5
white,6.6,0.19,0.41,8.9,46,51,169,0.9954,3.14,0.57,9.8,6
white,6.7,0.2,0.41,9.1,44,50,166,0.9954,3.14,0.58,9.8,6
white,7.7,0.26,0.4,1.1,42,9,60,0.9915,2.89,0.5,10.6,5
white,6.8,0.32,0.34,1.2,44,14,67,0.9919,3.05,0.47,10.6,4
white,7,0.3,0.49,4.7,36,17,105,0.9916,3.26,0.68,12.4,7
white,7,0.24,0.36,2.8,34,22,112,0.99,3.19,0.38,12.6,8
white,6.1,0.31,0.58,5,39,36,114,0.9909,3.3,0.6,12.3,8
white,6.8,0.44,0.37,5.1,47,46,201,0.9938,3.08,0.65,10.5,4
white,6.7,0.34,0.3,15.6,54,51,196,0.9982,3.19,0.49,9.3,5
white,7.1,0.35,0.24,15.4,55,46,198,0.9988,3.12,0.49,8.8,5
white,7.3,0.32,0.25,7.2,56,47,180,0.9961,3.08,0.47,8.8,5
white,6.5,0.28,0.33,15.7,53,51,190,0.9978,3.22,0.51,9.7,6
white,7.2,0.23,0.39,14.2,58,49,192,0.9979,2.98,0.48,9,7
white,7.2,0.23,0.39,14.2,58,49,192,0.9979,2.98,0.48,9,7
white,7.2,0.23,0.39,14.2,58,49,192,0.9979,2.98,0.48,9,7
white,7.2,0.23,0.39,14.2,58,49,192,0.9979,2.98,0.48,9,7
white,5.9,0.15,0.31,5.8,41,53,155,0.9945,3.52,0.46,10.5,6
white,7.4,0.28,0.42,19.8,66,53,195,1,2.96,0.44,9.1,5
white,6.2,0.28,0.22,7.3,41,26,157,0.9957,3.44,0.64,9.8,7
white,9.1,0.59,0.38,1.6,66,34,182,0.9968,3.23,0.38,8.5,3
white,6.3,0.33,0.27,1.2,46,34,175,0.9934,3.37,0.54,9.4,6
white,8.3,0.39,0.7,10.6,45,33,169,0.9976,3.09,0.57,9.4,5
white,7.2,0.19,0.46,3.8,41,82,187,0.9932,3.19,0.6,11.2,7
white,7.5,0.17,0.44,11.3,46,65,146,997,3.17,0.45,10,6
white,6.7,0.17,0.5,2.1,43,27,122,0.9923,3.15,0.45,10.3,6
white,6.1,0.41,0,1.6,63,36,87,0.9914,3.27,0.67,10.8,6
white,8.3,0.2,0.35,0.9,0.05,12,74,992,3.13,0.38,10.5,6
white,6.1,0.41,0,1.6,63,36,87,0.9914,3.27,0.67,10.8,6
white,6,0.29,0.21,1.3,55,42,168,0.9914,3.32,0.43,11.1,6
white,7.3,0.41,0.24,6.8,57,41,163,0.9949,3.2,0.41,9.9,6
white,7.3,0.41,0.24,6.8,57,41,163,0.9949,3.2,0.41,9.9,6
white,7.2,0.43,0.24,6.7,58,40,163,995,3.2,0.41,9.9,5
white,7.3,0.4,0.24,6.7,58,41,166,995,3.2,0.41,9.9,6
white,6.2,0.33,0.27,4.9,36,30,134,0.9927,3.2,0.42,10.4,7
white,6.2,0.31,0.26,4.8,37,36,148,0.9928,3.21,0.41,10.4,6
white,6.1,0.36,0.27,2.1,35,16,100,0.9917,3.4,0.71,11.5,7
white,5,0.55,0.14,8.3,32,35,164,0.9918,3.53,0.51,12.5,8
white,7.8,0.25,0.41,3.7,42,37,149,0.9954,3.36,0.45,10,6
white,5.7,0.36,0.21,6.7,38,51,166,0.9941,3.29,0.63,10,6
white,5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10,5
white,6.8,0.28,0.6,1.1,132,42,127,0.9934,3.09,0.44,9.1,6
white,6.8,0.25,0.34,4.7,31,34,134,0.9927,3.21,0.38,10.6,6
white,6.6,0.24,0.35,7.7,31,36,135,0.9938,3.19,0.37,10.5,5
white,5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,7
white,6.1,125,0.25,3.3,0.04,10,69,0.9934,3.54,0.59,10.1,6
white,6,0.1,0.24,1.1,41,15,65,0.9927,3.61,0.61,10.3,7
white,6.6,0.24,0.35,7.7,31,36,135,0.9938,3.19,0.37,10.5,5
white,6.8,0.25,0.34,4.7,31,34,134,0.9927,3.21,0.38,10.6,6
white,6.8,0.28,0.44,9.3,31,35,137,0.9946,3.16,0.36,10.4,6
white,8.3,0.41,0.51,2,46,11,207,993,3.02,0.55,11.4,5
white,7.5,0.27,0.31,5.8,57,131,313,0.9946,3.18,0.59,10.5,5
white,7.9,0.26,0.41,15.15,0.04,38,216,0.9976,2.96,0.6,10,6
white,6.4,0.34,0.23,6.3,39,37,143,0.9944,3.19,0.65,10,6
white,6.5,0.28,0.35,15.4,42,55,195,0.9978,3.23,0.5,9.6,6
