Name,Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,Critic_Count,Rating
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,11.68,,,
Gran Turismo 4,PS2,2004,Racing,11.66,89,74,E
Super Mario Galaxy,Wii,2007,Platform,11.35,97,73,E
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,11.18,,,
Grand Theft Auto IV,X360,2008,Action,11.01,98,86,M
Gran Turismo,PS,1997,Racing,10.95,96,16,E
Super Mario 3D Land,3DS,2011,Platform,10.81,90,82,E
Gran Turismo 5,PS3,2010,Racing,10.7,84,82,E
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,10.6,94,67,M
Super Mario All-Stars,SNES,1993,Platform,10.55,,,
Grand Theft Auto IV,PS3,2008,Action,10.5,98,64,M
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,10.49,,,
Super Mario 64,DS,2004,Platform,10.3,,,
Call of Duty: Ghosts,X360,2013,Shooter,10.25,73,29,M
Just Dance 3,Wii,2011,Misc,10.12,74,15,E10+
New Super Mario Bros. 2,3DS,2012,Platform,9.9,78,70,E
Mario Kart 64,N64,1996,Racing,9.87,,,
Halo: Reach,X360,2010,Shooter,9.86,91,99,M
Final Fantasy VII,PS,1997,Role-Playing,9.72,92,20,T
Halo 4,X360,2012,Shooter,9.71,87,87,M
Gran Turismo 2,PS,1999,Racing,9.49,93,23,T
Just Dance 2,Wii,2010,Misc,9.44,74,24,E10+
Call of Duty: Ghosts,PS3,2013,Shooter,9.36,71,10,M
Call of Duty 4: Modern Warfare,X360,2007,Shooter,9.31,94,70,M
Donkey Kong Country,SNES,1994,Platform,9.3,,,
Minecraft,X360,2013,Misc,9.18,,,
Animal Crossing: New Leaf,3DS,2012,Simulation,9.16,88,70,E
Mario Party DS,DS,2007,Misc,8.91,72,27,E
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,8.79,96,89,M
Super Mario Kart,SNES,1992,Racing,8.76,,,
FIFA 16,PS4,2015,Sports,8.57,82,42,E
Halo 2,XB,2004,Shooter,8.49,95,91,M
Wii Party,Wii,2010,Misc,8.38,68,42,E
Mario Party 8,Wii,2007,Misc,8.27,62,41,E
FIFA Soccer 13,PS3,2012,Action,8.16,88,37,E
GoldenEye 007,N64,1997,Shooter,8.09,,,
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,8.07,,,
Final Fantasy X,PS2,2001,Role-Playing,8.05,92,53,T
The Sims 3,PC,2009,Simulation,8.01,86,75,T
Mario & Sonic at the Olympic Games,Wii,2007,Sports,7.99,,,
Star Wars Battlefront (2015),PS4,2015,Shooter,7.98,,,
Final Fantasy VIII,PS,1999,Role-Playing,7.86,90,24,T
Pac-Man,2600,1982,Puzzle,7.81,,,
Pokémon Platinum Version,DS,2008,Role-Playing,7.72,83,46,E
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,7.69,88,65,M
Call of Duty: Advanced Warfare,PS4,2014,Shooter,7.66,83,39,M
The Legend of Zelda: Ocarina of Time,N64,1998,Action,7.6,,,
FIFA 17,PS4,2016,Sports,7.59,85,41,E
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,7.58,,,
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,7.55,,,
Super Mario Galaxy 2,Wii,2010,Platform,7.51,97,87,E
Super Mario Bros. 2,NES,1988,Platform,7.46,,,
Call of Duty: Black Ops 3,XOne,2015,Shooter,7.39,,,
Call of Duty: World at War,X360,2008,Shooter,7.38,84,84,M
Battlefield 3,X360,2011,Shooter,7.32,84,57,M
Need for Speed Underground,PS2,2003,Racing,7.2,85,33,E
Just Dance,Wii,2009,Misc,7.2,49,21,E10+
Battlefield 3,PS3,2011,Shooter,7.17,85,38,M
Fallout 4,PS4,2015,Role-Playing,7.16,87,58,M
Tekken 3,PS,1998,Fighting,7.16,96,15,T
The Legend of Zelda: Twilight Princess,Wii,2006,Action,7.15,95,73,T
Pokemon Sun/Moon,3DS,2016,Role-Playing,7.14,,,
Crash Bandicoot 3: Warped,PS,1998,Platform,7.13,91,12,E
Mario Kart 8,WiiU,2014,Racing,7.09,88,82,E
Super Smash Bros. Melee,GC,2001,Fighting,7.07,92,38,T
Mario Kart: Double Dash!!,GC,2003,Racing,6.95,,,
Need for Speed Underground 2,PS2,2004,Racing,6.9,82,39,E
Medal of Honor: Frontline,PS2,2002,Shooter,6.83,88,29,T
Crash Bandicoot,PS,1996,Platform,6.82,,,
Just Dance 4,Wii,2012,Misc,6.76,74,10,E10+
Gears of War 2,X360,2008,Shooter,6.75,93,90,M
Uncharted 3: Drake's Deception,PS3,2011,Action,6.74,92,97,T
Zumba Fitness,Wii,2010,Sports,6.71,,,E
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,6.68,94,44,M
Uncharted 2: Among Thieves,PS3,2009,Action,6.66,96,105,T
FIFA 12,PS3,2011,Sports,6.65,,,
Big Brain Academy,DS,2005,Misc,6.62,74,45,E
The Legend of Zelda,NES,1986,Action,6.51,,,
Red Dead Redemption,PS3,2010,Action,6.49,95,73,M
FIFA 14,PS3,2013,Sports,6.47,86,37,E
Assassin's Creed III,PS3,2012,Action,6.45,85,41,M
Donkey Kong Country Returns,Wii,2010,Platform,6.44,87,77,E
Halo: Combat Evolved,XB,2001,Shooter,6.43,97,68,M
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,6.41,92,16,M
Pokémon Emerald Version,GBA,2004,Role-Playing,6.41,76,28,E
Kingdom Hearts,PS2,2002,Role-Playing,6.4,85,46,E
Pokémon Crystal Version,GB,2000,Role-Playing,6.39,,,
Halo 3: ODST,X360,2009,Shooter,6.34,83,94,M
Red Dead Redemption,X360,2010,Action,6.32,95,96,M
Super Mario Sunshine,GC,2002,Platform,6.31,92,61,E
Street Fighter II: The World Warrior,SNES,1992,Fighting,6.3,,,
World of Warcraft,PC,2004,Role-Playing,6.29,93,57,T
Driver,PS,1999,Action,6.27,87,22,T
Gears of War 3,X360,2011,Shooter,6.21,91,96,M
Kinect Sports,X360,2010,Sports,6.19,73,51,E10+
Gears of War,X360,2006,Shooter,6.09,94,88,M
FIFA 15,PS4,2014,Sports,6.08,82,47,E
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,6.05,96,42,M
Sonic the Hedgehog 2,GEN,1992,Platform,6.03,,,
Metal Gear Solid,PS,1998,Action,6.03,94,20,M
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,5.99,94,82,M
Final Fantasy XII,PS2,2006,Role-Playing,5.95,92,64,T
The Last of Us,PS3,2013,Action,5.87,95,98,M
LittleBigPlanet,PS3,2008,Platform,5.82,95,85,E
Resident Evil 2,PS,1998,Action,5.82,89,13,M
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,5.78,87,65,E10+
Tekken 2,PS,1996,Fighting,5.74,89,8,T
Destiny,PS4,2014,Shooter,5.64,76,95,T
LEGO Star Wars: The Complete Saga,Wii,2007,Action,5.64,80,17,E10+
Cooking Mama,DS,2006,Simulation,5.63,67,35,E
Tetris,NES,1988,Puzzle,5.58,,,
Super Smash Bros.,N64,1999,Fighting,5.55,,,
Assassin's Creed II,PS3,2009,Action,5.55,91,70,M
Assassin's Creed,X360,2007,Adventure,5.54,81,77,M
Forza Motorsport 3,X360,2009,Racing,5.49,92,90,E
Super Mario Advance,GBA,2001,Platform,5.49,84,19,E
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,5.48,81,48,T
Batman: Arkham City,PS3,2011,Action,5.48,96,42,T
Grand Theft Auto V,XOne,2014,Action,5.48,97,14,M
Mario Kart: Super Circuit,GBA,2001,Racing,5.47,93,24,E
Super Mario World,GBA,2001,Platform,5.46,,,
Pokemon Stadium,N64,1999,Strategy,5.45,,,
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,5.42,66,22,E
Call of Duty: World at War,PS3,2008,Shooter,5.39,85,45,M
Uncharted 4: A Thief's End,PS4,2016,Shooter,5.38,93,113,T
Dr. Mario,GB,1989,Puzzle,5.34,,,
Final Fantasy XIII,PS3,2009,Role-Playing,5.33,83,83,T
Pokemon Pinball,GB,1999,Misc,5.31,,,
Final Fantasy IX,PS,2000,Role-Playing,5.3,94,22,T
Assassin's Creed III,X360,2012,Action,5.29,84,61,M
Final Fantasy X-2,PS2,2003,Role-Playing,5.29,85,45,T
Donkey Kong 64,N64,1999,Platform,5.27,,,
Call of Duty: Advanced Warfare,XOne,2014,Shooter,5.27,81,53,M
Minecraft,PS3,2014,Misc,5.26,,,
Assassin's Creed II,X360,2009,Action,5.26,90,82,M
Tomb Raider II,PS,1997,Action,5.24,85,13,T
Madden NFL 2004,PS2,N/A,Sports,5.23,94,29,E
Tomodachi Life,3DS,2013,Simulation,5.23,,,
New Super Mario Bros. U,WiiU,2012,Platform,5.22,84,70,E
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,5.21,89,63,T
Super Mario Bros. 3,GBA,2003,Platform,5.2,,,
Professor Layton and the Curious Village,DS,2007,Puzzle,5.19,85,72,E
Super Mario Land 3: Wario Land,GB,1994,Platform,5.19,,,
FIFA Soccer 13,X360,2012,Action,5.16,90,48,E
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,5.15,,,
Diablo III,PC,2012,Role-Playing,5.14,88,86,M
Medal of Honor: Rising Sun,PS2,2003,Shooter,5.13,68,30,T
Kirby's Dream Land,GB,1992,Platform,5.13,,,
Microsoft Flight Simulator,PC,1996,Simulation,5.12,,,
Guitar Hero II,PS2,2006,Misc,5.12,92,69,T
Fable III,X360,2010,Role-Playing,5.1,80,88,M
Mario & Sonic at the Olympic Games,DS,2008,Sports,5.09,,,
Resident Evil 5,PS3,2009,Action,5.09,84,76,M
